indiv,station,trap.model,date.capture,date.handling,date.release,sex.female,previous.marks,sedated,veterinarian,new.marks,freeze.secs.right,freeze.secs.left,weight.kg,neck.size.cm,obs
bella,Arm05,Modelo.PNT,22/07/2013,22/07/2013,22/07/2013,TRUE,"Colar Amarelo; Transmissor (150,241);Tag 0038 (Orelha Esquerda)",TRUE,Lúcio,Colar Amarelo (S/ Transmissor); Tags Amarelo/Amarelo (Dir: 220 / Esq: 370); Marcação no Pêlo,-,-,2.8,-,Precisou de um repique. Mamas estavam proeminentes. Marcações prévias foram retiradas
primo,Arm02,Modelo.PNT,23/07/2013,23/07/2013,23/07/2013,FALSE,Nenhuma,TRUE,Lúcio,Brincos Preto/Branco (Dir.P: 125 / Dir.G: 204 //Esq.P: 124 / Esq.G: 269); Pêlo Marcado,-,-,1.28,-,Indivíduo bem jovem. Não colocamos colar. Marcação no pêlo não ficou muito boa
chico,Arm02,Modelo.PNT,24/07/2013,24/07/2013,24/07/2013,FALSE,Nenhuma,TRUE,Lúcio,Brincos Prata/Roxo (Dir.P: 106 / Dir.G: 235 // Esq.P: 105 / Esq.G: 234); Marcação no pêlo,-,-,1.14,-,Indivíduo bem jovem. Não colocamos colar. Precisou de repique
bella,Arm16,Tomahawk,23/07/2013,-,23/07/2013,TRUE,-,FALSE,-,-,-,-,-,-,Recaptura
bella,Arm16,Tomahawk,24/07/2013,-,24/07/2013,TRUE,-,FALSE,-,-,-,-,-,-,Ficou circulando as armadilhas após a soltura
anathema,Arm15,Tomahawk,25/07/2013,25/07/2013,25/07/2013,TRUE,Nenhuma,TRUE,Lúcio,"Colar Branco (150,361); Brincos Branco/Rosa (Dir.P: 107 / Dir.G: 224  // Esq.P: 954 / Esq.G: 223); Marcação no pêlo",-,-,2.6,-,Animal muito tranquilo durante a contenção. Tivemos dificuldade para assustá-la para dentro da gaiola de contenção. Patas traseiras com machucados antigos.
bella,Arm16,Tomahawk,25/07/2013,-,25/07/2013,TRUE,-,FALSE,-,-,-,-,-,-,Ficou circulando as armadilhas após a soltura
negra,Arm01,Tomahawk,25/07/2013,-,25/07/2013,TRUE,Colar e Brincos sem Cores,FALSE,-,-,-,-,-,-,Não foi triada por questões de logísticas e comunicação.
primo,Arm02,Modelo.PNT,26/07/2013,-,26/07/2013,FALSE,-,FALSE,-,-,-,-,-,-,Recaptura
neguinha,Arm19,1.(Modelo.PNT),06/11/2013,06/11/2013,06/11/2013,TRUE,Nenhuma,TRUE ,Lúcio,Brincos Preto/Rosa (Dir.P: 148 / Dir.G: 231 // Esq.P: 149 / Esq.G: 236); Pêlo Descolorido,-,-,1.5,-,_
negra,Arm18,Tomahawk,07/11/2013,08/11/2013,08/11/2013,TRUE,Brinco (Dir.G: 0062); Colar de Rádio sem Bateria (150.601),TRUE ,Lúcio,Brincos Preto/Preto (Dir.G: 240 // Esq.P: 167 / Esq.G: 243); Colar Preto s/ Tranmissor; Pêlo Descolorido,-,-,3.2,-,Mamas proeminentes (possívelmente pós-grávida)
anathema,Arm15,Tomahawk,03/02/2014,03/02/2014,03/02/2014,TRUE,"Brinco (Dir.P: 107 // Esq.P: 954); Colar de Branco, sem transmissor",TRUE ,Lúcio,Novo colar branco (s/ transmissor). Pêlo marcado (Descolorido e marcado a frio),60,70,2.8,16,_
lili,Arm32,Tomahawk.(Leve),04/02/2014,04/02/2014,04/02/2014,TRUE,Nenhuma,TRUE,Lúcio,Brincos (Dir.P: 986 // Esq.P: 955). Pêlo marcado (Descolorido e marcado a frio). Colar roxo sem transmissor,70,70,2.7,16,_
luna,Arm24,Tomahawk.(Leve),05/02/2014,05/02/2014,05/02/2014,TRUE,Nenhuma,TRUE,Lúcio,Brincos (Dir.P: 992 // Esq.P: 993). Pêlo marcado (Descolorido e marcado a frio). Colar roxo sem transmissor,70,70,2.97,16.5,"Havia pouco gelo seco para marcação. Marcas do ferro ficaram um pouco roxas, e depois formaram casquinha"
malu,Arm33,Tomahawk.(Leve),11/05/2014,12/05/2014,13/05/2014,TRUE,Nenhuma,TRUE,Lúcio,Brincos Branco/Laranja (Dir.P: 110 / Dir.G: 321 // Esq.P: 111 / Esq.G: 322) Gelo Seco (Triangulo) e Blondor (Quadrado),70,70,1.22,-,_
negra,Arm18,Tomahawk.(Leve),15/05/2014,16/05/2014,17/05/2014,TRUE,Brinco (Dir.G: 0062 // Esq.P: 0167 / Esq.G:0243 Preto;Preto); Colar Preto,TRUE,Lúcio,Gelo Seco e Blondor ( _I_  ),80,80,3.315,-,"O gelo seco estava acabando, e a marca da esquerda ficou claramente ruim."
roland,Barracão,Tomahawk,18/08/2014,20/08/2014,21/08/2014,FALSE,"Colar de rádio (Branco), Pêlo Descolorido, Brincos Pequenos",TRUE,ArthurAdilson,"Gelo Seco ( I ), Brincos Coloridos (D: 357 //E: 356; Branco/Branco)",60,60,2.8,-,"Colar de rádio machucando o pescoço, foi removido."
luna,AFV09,Tomahawk.(Leve),18/08/2014,20/08/2014,21/08/2014,TRUE,"Colar Rosa, Marcação a Frio, Brincos Pequenos",TRUE,ArthurAdilson,"Brinco Grande (Roxo/Amarelo), Colar de Rádio (Laranja, 150.801)",-,-,3,-,Estava grávida.
luke,AFV05b,Tomahawk,19/08/2014,20/08/2014,21/08/2014,FALSE,-,TRUE,ArthurAdilson,"Brinco Grande (Branco/Azul, D: 366// E: 310), Brincos Pequenos (D: 223 // E: 224), Gelo Seco, Blondor ( O ). Remoção material genético",60,60,2,-,_
maia,AFV13,-,18/08/2014,20/08/2014,21/08/2014,TRUE,-,TRUE,ArthurAdilson,Blondor (o O); Brinco Grande (Prata/Rosa. D: 344 // E: 333); Brinco Pequeno (D: 221); Remoção material genético (Direita),-,-,0.9,-,_
grey,AFV07,-,19/08/2014,20/08/2014,21/08/2014,TRUE,-,TRUE,ArthurAdilson,"Blondor ( ""-""-"" ); Brinco Grande (Branco/Amarelo. D: 372 // E: 386); Brinco Pequeno (D: 204); Remoção material genético (Direita)",-,-,0.8,-,_
bjork,AFV12,-,19/08/2014,20/08/2014,21/08/2014,TRUE,-,TRUE,ArthurAdilson,Blondor ( X ); Brinco Grande (Branco/Roxo. D: 316 // E: 358); Brinco Pequeno (D: 205); Remoção material genético (Direita),-,-,0.95,-,_
wallace,AFV12,-,22/08/2014,25/08/2014,26/08/2014,FALSE,"Blondor (V), Colar de Rádio, Tag Pequena",TRUE,ArthurAdilson,"Marcação a Frio (Irregular), Brinco Grande (Prata/Amarelo; D: 394 // E: 337)",45,60,2.3,-,_
lolita,Morro do Excelsior,Tomahawk,20/08/2014,25/08/2014,26/08/2014,TRUE,-,TRUE,ArthurAdilson,Blondor ( I I ); Brinco Grande (Rosa/Rosa. D: 324 // E: 332); ; Remoção material genético (Direita),-,-,1,-,_
grey,Ponto Novo (Alojamento),-,23/08/2014,-,23/08/2014,TRUE,-,FALSE,-,-,-,-,-,-,Transferida para o lago das fadas
grey,AFV07,-,27/08/2014,-,27/08/2014,TRUE,-,FALSE,-,-,-,-,-,-,_
lolita,Morro do Excelsior,-,27/08/2014,-,29/08/2014,TRUE,-,FALSE,-,-,-,-,-,-,_
maia,Roland,-,28/08/2014,-,29/08/2014,TRUE,-,FALSE,-,-,-,-,-,-,_
wallace,Wallace,-,27/08/2014,-,29/08/2014,FALSE,-,FALSE,-,-,-,-,-,-,_
bjork,AFV12,-,26/08/2014,-,29/08/2014,TRUE,-,FALSE,-,-,-,-,-,-,_
bjork,AFV12,-,21/08/2014,-,21/08/2014,TRUE,-,FALSE,-,-,-,-,-,-,_
roland,Barracão,-,24/08/2014,-,24/08/2014,FALSE,-,FALSE,-,-,-,-,-,-,_
roland,Barracão,-,25/08/2014,-,-,FALSE,-,TRUE,-,-,-,-,-,-,Estava morto na armadilha
roland,Barracão,-,21/08/2014,-,21/08/2014,FALSE,-,FALSE,-,-,-,-,-,-,_
bjork,AFV12,-,23/08/2014,-,23/08/2014,TRUE,-,FALSE,-,-,-,-,-,-,_
bjork,AFV12,-,25/08/2014,-,25/08/2014,TRUE,-,FALSE,-,-,-,-,-,-,_
sol,AFV29,Tomahawk,09/11/2014,10/11/2014,11/11/2014,TRUE,"Blondor (V), Colar de Rádio, Tag Grande (Colorida)",TRUE,ArthurAdilson,"Blondor ( | O ), Brinco Grande (Laranja/Amarelo. D: 227 // E: 203); Remoção material genético (QUAL?); Marcação a Frio ( | O ); Colar de Rádio (Colar Vermelho, Receptor s/ Cor. Freq 150.361)",70,70,3,-,"Vagina sangrando, por ferimento ou pós-coito. Animal foi levado ao cercado para simulação de soltura antes de ser liberado no seu local de captura"
kanayeva,AFV12,Tomahawk,08/03/2015,09/03/2015,10/03/2015,TRUE,-,TRUE,Arthur,Blondor (I); Brinco Grande (D:0393/E:0318); Marcação a frio (I); Remoção material genético (direita),45,41,0.84,12,"Comprimento total (cauda-ponta da cabeça) :34,5 cm; Comprimento dorso-ventral: 9,0 cm; Comprimento pata traseira: 9,0 cm; Comprimento rádio+pata: 10 cm"
