species,station,date,time_start,time_end,indiv,left.ear,right.ear,collar,radio.transmitter,marked.fur,record.format,sides.used,obs,identifier,cam.model,age
Dasyprocta.leporina,AFV12,01/04/2015,05:58:02,05:58:21,unmark,absent,n_detect,absent,absent,absent,photo,left,_,caio,bushnell,1
Dasyprocta.leporina,AFV12,01/04/2015,06:05:37,06:05:39,unmark,absent,n_detect,absent,absent,absent,photo,left,_,caio,bushnell,1
Dasyprocta.leporina,AFV12,01/04/2015,06:16:49,06:16:51,na,n_detect,n_detect,absent,absent,n_detect,photo,left,_,caio,bushnell,1
Dasyprocta.leporina,AFV12,01/04/2015,06:23:08,06:23:09,na,n_detect,n_detect,n_detect,n_detect,n_detect,photo,right,_,caio,bushnell,1
Dasyprocta.leporina,AFV12,01/04/2015,06:26:43,06:26:44,na,n_detect,n_detect,absent,absent,n_detect,photo,left,_,caio,bushnell,1
Dasyprocta.leporina,AFV12,01/04/2015,06:49:41,06:50:46,unmark,absent,n_detect,absent,absent,n_detect,photo,2,_,caio,bushnell,1
Dasyprocta.leporina,AFV12,01/04/2015,07:00:34,07:00:34,na,n_detect,n_detect,n_detect,n_detect,n_detect,photo,right,_,caio,bushnell,1
Dasyprocta.leporina,AFV12,01/04/2015,07:03:40,07:03:41,mark.n.id,present,present,absent,absent,n_detect,photo,right,prob.kanayeva,caio,bushnell,0
Dasyprocta.leporina,AFV12,01/04/2015,07:06:00,07:06:31,mark.n.id,present,present,absent,absent,n_detect,photo,right,prob.kanayeva,caio,bushnell,0
Dasyprocta.leporina,AFV12,01/04/2015,09:23:22,09:23:23,na,n_detect,n_detect,n_detect,n_detect,n_detect,photo,right,_,caio,bushnell,1
Dasyprocta.leporina,AFV12,01/04/2015,09:35:47,09:35:48,na,n_detect,n_detect,n_detect,n_detect,n_detect,photo,right,_,caio,bushnell,1
Dasyprocta.leporina,AFV12,01/04/2015,14:30:52,14:30:53,mark.n.id,present,present,absent,absent,n_detect,photo,right,prob.kanayeva,caio,bushnell,0
Dasyprocta.leporina,AFV12,02/04/2015,13:50:45,13:50:47,na,n_detect,n_detect,absent,absent,n_detect,photo,left,_,caio,bushnell,1
Dasyprocta.leporina,AFV12,03/04/2015,06:03:26,06:03:26,kanayeva,n_detect,n_detect,absent,absent,present,photo,right,_,caio,bushnell,0
Dasyprocta.leporina,AFV12,03/04/2015,06:24:02,06:24:03,mark.n.id,n_detect,present,absent,absent,n_detect,photo,left,prob.kanayeva,caio,bushnell,0
Dasyprocta.leporina,AFV12,03/04/2015,11:40:22,11:40:24,mark.n.id,present,n_detect,absent,absent,absent,photo,left,_,caio,bushnell,1
Dasyprocta.leporina,AFV12,04/04/2015,16:41:18,16:43:37,unmark,absent,n_detect,absent,absent,n_detect,photo,2,_,caio,bushnell,1
Dasyprocta.leporina,AFV12,04/04/2015,16:47:53,16:47:54,na,n_detect,n_detect,absent,absent,absent,photo,left,_,caio,bushnell,1
Dasyprocta.leporina,AFV12,05/04/2015,14:45:36,14:45:38,unmark,n_detect,absent,absent,absent,absent,photo,right,_,caio,bushnell,1
Dasyprocta.leporina,AFV12,06/04/2015,17:42:22,17:42:22,na,n_detect,n_detect,n_detect,absent,n_detect,photo,left,_,caio,bushnell,0
Dasyprocta.leporina,AFV12,06/04/2015,17:50:30,17:53:35,na,n_detect,n_detect,absent,absent,absent,photo,left,_,caio,bushnell,1
Dasyprocta.leporina,AFV12,06/04/2015,17:56:46,17:58:39,na,n_detect,n_detect,absent,absent,absent,photo,left,_,caio,bushnell,1
Dasyprocta.leporina,AFV12,06/04/2015,18:01:55,18:13:15,unmark,absent,absent,absent,absent,absent,photo,2,_,caio,bushnell,1
Dasyprocta.leporina,AFV12,07/04/2015,05:51:48,05:57:25,kanayeva,present,present,absent,absent,present,photo,2,_,caio,bushnell,0
Dasyprocta.leporina,AFV12,07/04/2015,07:44:52,07:46:34,kanayeva,present,present,absent,absent,present,photo,left,_,caio,bushnell,0
Dasyprocta.leporina,AFV12,07/04/2015,17:28:37,17:28:38,mark.n.id,n_detect,present,absent,absent,present,photo,right,prob.kanayeva,caio,bushnell,0
Dasyprocta.leporina,AFV12,08/04/2015,05:47:08,05:49:11,kanayeva,present,present,absent,absent,present,photo,2,_,caio,bushnell,0
Dasyprocta.leporina,AFV12,08/04/2015,08:44:58,08:44:59,na,n_detect,n_detect,absent,absent,absent,photo,left,_,caio,bushnell,1
Dasyprocta.leporina,AFV12,08/04/2015,17:47:15,17:47:33,kanayeva,n_detect,present,absent,absent,present,photo,right,_,caio,bushnell,0
Dasyprocta.leporina,AFV12,09/04/2015,05:43:44,05:45:47,kanayeva,present,present,absent,absent,present,photo,2,_,caio,bushnell,0
Dasyprocta.leporina,AFV12,09/04/2015,08:20:46,08:20:47,unmark,n_detect,absent,absent,absent,absent,photo,right,_,caio,bushnell,1
Dasyprocta.leporina,AFV12,09/04/2015,09:33:01,09:33:02,mark.n.id,n_detect,present,absent,absent,n_detect,photo,right,_,caio,bushnell,1
Dasyprocta.leporina,AFV12,09/04/2015,17:43:06,17:45:10,mark.n.id,present,n_detect,absent,absent,present,photo,left,prob.kanayeva,caio,bushnell,0
Dasyprocta.leporina,AFV12,10/04/2015,13:05:30,13:05:31,na,n_detect,n_detect,absent,absent,absent,photo,left,_,caio,bushnell,1
Dasyprocta.leporina,AFV12,10/04/2015,17:54:46,17:54:47,mark.n.id,n_detect,n_detect,absent,absent,present,photo,left,prob.kanayeva,caio,bushnell,0
Dasyprocta.leporina,AFV12,11/04/2015,06:03:09,06:05:13,kanayeva,present,present,absent,absent,present,photo,2,_,caio,bushnell,0
Dasyprocta.leporina,AFV12,11/04/2015,07:09:36,07:09:37,unmark,absent,n_detect,absent,absent,absent,photo,left,_,caio,bushnell,1
Dasyprocta.leporina,AFV12,11/04/2015,17:29:21,17:31:26,na,n_detect,n_detect,absent,absent,absent,photo,2,_,caio,bushnell,1
Dasyprocta.leporina,AFV12,12/04/2015,05:59:55,05:59:56,mark.n.id,n_detect,present,absent,absent,n_detect,photo,left,prob.kanayeva,caio,bushnell,0
Dasyprocta.leporina,AFV12,12/04/2015,17:46:20,17:46:21,kanayeva,present,n_detect,absent,absent,present,photo,right,_,caio,bushnell,0
Dasyprocta.leporina,AFV12,13/04/2015,05:57:11,05:59:16,kanayeva,present,present,absent,absent,present,photo,2,_,caio,bushnell,0
Dasyprocta.leporina,AFV09,31/03/2015,15:17:52,15:17:53,luna,n_detect,n_detect,absent,absent,present,photo,left,_,caio,bushnell,1
Dasyprocta.leporina,AFV09,31/03/2015,16:33:26,16:36:01,luna,n_detect,n_detect,absent,absent,present,photo,2,_,caio,bushnell,1
Dasyprocta.leporina,AFV09,02/04/2015,06:23:01,06:23:02,luna,n_detect,n_detect,absent,absent,present,photo,right,_,caio,bushnell,1
Dasyprocta.leporina,AFV09,02/04/2015,09:54:57,09:54:58,mark.n.id,present,n_detect,absent,absent,ambiguous,photo,left,prob.luna,caio,bushnell,1
Dasyprocta.leporina,AFV09,02/04/2015,10:33:51,10:33:52,luna,n_detect,mark,absent,absent,present,photo,right,_,caio,bushnell,1
Dasyprocta.leporina,AFV09,02/04/2015,13:24:27,13:24:28,unmark,absent,n_detect,absent,absent,absent,photo,left,_,caio,bushnell,1
Dasyprocta.leporina,AFV09,02/04/2015,13:27:11,13:27:12,na,n_detect,n_detect,n_detect,n_detect,n_detect,photo,right,_,caio,bushnell,1
Dasyprocta.leporina,AFV09,02/04/2015,17:19:06,17:19:22,luna,n_detect,n_detect,absent,absent,present,photo,right,_,caio,bushnell,1
Dasyprocta.leporina,AFV09,03/04/2015,07:33:22,07:33:23,luna,n_detect,n_detect,absent,absent,present,photo,right,_,caio,bushnell,1
Dasyprocta.leporina,AFV09,04/04/2015,05:50:37,05:50:38,na,n_detect,n_detect,n_detect,n_detect,n_detect,photo,left,_,caio,bushnell,1
Dasyprocta.leporina,AFV09,04/04/2015,05:53:17,05:53:17,na,n_detect,n_detect,n_detect,n_detect,n_detect,photo,right,_,caio,bushnell,1
Dasyprocta.leporina,AFV09,05/04/2015,11:08:54,11:09:46,luna,n_detect,n_detect,absent,absent,present,photo,right,_,caio,bushnell,1
Dasyprocta.leporina,AFV09,06/04/2015,22:53:36,22:53:37,na,n_detect,n_detect,n_detect,n_detect,n_detect,photo,0,_,caio,bushnell,1
Dasyprocta.leporina,AFV09,06/04/2015,22:59:40,22:59:42,na,n_detect,n_detect,absent,absent,n_detect,photo,left,_,caio,bushnell,1
Dasyprocta.leporina,AFV09,06/04/2015,23:02:10,23:04:23,luna,n_detect,n_detect,absent,absent,present,photo,left,_,caio,bushnell,1
Dasyprocta.leporina,AFV09,06/04/2015,23:07:04,23:15:43,luna,n_detect,n_detect,absent,absent,present,photo,left,_,caio,bushnell,1
Dasyprocta.leporina,AFV09,07/04/2015,06:09:11,06:09:12,luna,n_detect,n_detect,absent,absent,present,photo,left,_,caio,bushnell,1
Dasyprocta.leporina,AFV09,07/04/2015,06:17:56,06:20:22,luna,n_detect,n_detect,absent,absent,present,photo,2,_,caio,bushnell,1
Dasyprocta.leporina,AFV09,07/04/2015,17:16:30,17:16:31,luna,n_detect,n_detect,absent,absent,present,photo,left,_,caio,bushnell,1
Dasyprocta.leporina,AFV09,07/04/2015,18:11:50,18:11:51,na,n_detect,n_detect,absent,absent,n_detect,photo,left,_,caio,bushnell,1
Dasyprocta.leporina,AFV09,08/04/2015,10:58:18,10:59:35,unmark,absent,absent,absent,absent,absent,photo,2,_,caio,bushnell,1
Dasyprocta.leporina,AFV09,08/04/2015,14:33:33,14:34:31,luna,n_detect,n_detect,absent,absent,present,photo,left,_,caio,bushnell,1
Dasyprocta.leporina,AFV09,10/04/2015,17:13:24,17:15:27,luna,n_detect,n_detect,absent,absent,present,photo,2,_,caio,bushnell,1
Dasyprocta.leporina,AFV09,11/04/2015,11:45:51,11:45:51,na,n_detect,n_detect,n_detect,n_detect,ambiguous,photo,right,_,caio,bushnell,1
Dasyprocta.leporina,AFV09,11/04/2015,13:41:44,13:41:45,unmark,absent,n_detect,absent,absent,absent,photo,left,_,caio,bushnell,1
Dasyprocta.leporina,AFV09,11/04/2015,16:53:34,16:54:36,luna,n_detect,n_detect,absent,absent,present,photo,left,_,caio,bushnell,1
Dasyprocta.leporina,AFV09,11/04/2015,18:00:27,18:00:28,luna,n_detect,n_detect,absent,absent,present,photo,left,_,caio,bushnell,1
